Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,ClosePrice,Volume
INFY,EQ,2025-09-01,1469.6,1476.7,1503.4,1476.2,1499.4,4546057
INFY,EQ,2025-09-02,1499.4,1499.4,1512.8,1486.3,1498.7,5218763
INFY,EQ,2025-09-03,1498.7,1500.0,1501.9,1473.0,1479.1,4623483
INFY,EQ,2025-09-04,1479.1,1484.0,1484.0,1460.1,1463.0,5787724
INFY,EQ,2025-09-05,1463.0,1470.0,1472.7,1433.0,1444.6,5466487
INFY,EQ,2025-09-08,1444.6,1451.0,1458.0,1428.3,1432.9,3811567
INFY,EQ,2025-09-09,1432.9,1481.0,1507.2,1472.5,1504.3,13072640
INFY,EQ,2025-09-10,1504.3,1510.1,1534.9,1509.3,1532.6,7281071
INFY,EQ,2025-09-11,1532.6,1523.9,1527.5,1506.5,1509.7,8003662
INFY,EQ,2025-09-12,1509.7,1537.0,1542.9,1521.1,1525.6,12856963
INFY,EQ,2025-09-15,1525.6,1525.6,1527.5,1501.2,1508.4,6167414
INFY,EQ,2025-09-16,1508.4,1508.4,1514.0,1503.5,1511.3,8923112
INFY,EQ,2025-09-17,1511.3,1516.9,1526.7,1514.0,1522.4,4795698
INFY,EQ,2025-09-18,1522.4,1550.0,1555.0,1538.5,1540.6,9331945
INFY,EQ,2025-09-19,1540.6,1544.6,1551.3,1520.1,1540.2,12988129
INFY,EQ,2025-09-22,1540.2,1482.7,1514.7,1482.0,1499.5,15655204
INFY,EQ,2025-09-23,1499.5,1493.0,1513.0,1493.0,1497.5,9832164
INFY,EQ,2025-09-24,1497.5,1487.2,1496.7,1482.7,1494.6,4937004
INFY,EQ,2025-09-25,1494.6,1489.0,1502.7,1476.5,1484.8,9491867
INFY,EQ,2025-09-26,1484.8,1475.0,1478.7,1441.2,1448.9,8597058
INFY,EQ,2025-09-29,1448.9,1460.0,1465.0,1436.5,1441.8,10513117
INFY,EQ,2025-09-30,1441.8,1443.0,1452.2,1438.1,1441.8,7556305
INFY,EQ,2025-10-01,1441.8,1446.0,1449.5,1427.4,1445.8,6250692
INFY,EQ,2025-10-03,1445.8,1439.0,1448.3,1433.2,1446.6,6877533
