Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,ClosePrice,TotalTradedQuantity
SBIN,EQ,01-Jan-2021,274.95,274.90,280.00,274.40,279.40,"2,45,31,791"
SBIN,EQ,04-Jan-2021,279.40,281.85,283.90,277.75,281.05,"3,14,50,608"
SBIN,EQ,05-Jan-2021,281.05,278.05,282.45,277.00,281.75,"2,73,93,072"
SBIN,EQ,06-Jan-2021,281.75,283.00,289.15,281.40,285.05,"4,07,65,708"
SBIN,EQ,07-Jan-2021,285.05,289.00,291.80,287.00,287.70,"3,05,46,600"
SBIN,EQ,08-Jan-2021,287.70,290.10,291.40,285.20,286.00,"3,25,43,357"
SBIN,EQ,11-Jan-2021,286.00,288.00,288.20,279.60,282.50,"2,97,03,173"
SBIN,EQ,12-Jan-2021,282.50,280.00,293.85,277.90,292.50,"4,43,07,145"
SBIN,EQ,13-Jan-2021,292.50,296.00,308.00,294.50,306.80,"7,80,42,133"
SBIN,EQ,14-Jan-2021,306.80,306.70,309.25,303.80,307.25,"4,01,23,498"
SBIN,EQ,15-Jan-2021,307.25,306.80,310.90,301.30,303.85,"3,53,07,601"
SBIN,EQ,18-Jan-2021,303.85,303.50,308.65,292.20,294.45,"5,49,69,750"
SBIN,EQ,19-Jan-2021,294.45,297.65,302.50,296.40,298.60,"3,58,03,901"
SBIN,EQ,20-Jan-2021,298.60,298.80,304.70,296.85,302.55,"3,37,59,304"
SBIN,EQ,21-Jan-2021,302.55,304.00,305.15,291.50,294.85,"2,99,95,203"
SBIN,EQ,22-Jan-2021,294.85,295.50,298.00,282.40,283.70,"4,44,40,810"
SBIN,EQ,25-Jan-2021,283.70,284.50,288.00,277.05,280.95,"3,40,34,630"
SBIN,EQ,27-Jan-2021,280.95,280.20,284.85,272.70,275.65,"3,92,11,107"
SBIN,EQ,28-Jan-2021,275.65,271.90,283.35,269.50,282.35,"4,87,17,297"
SBIN,EQ,29-Jan-2021,282.35,285.60,290.65,279.10,282.10,"4,23,00,984"
SBIN,EQ,01-Feb-2021,282.10,285.10,313.90,282.75,310.70,"10,34,14,068"
SBIN,EQ,02-Feb-2021,310.70,315.00,337.40,315.00,333.10,"12,14,34,166"
SBIN,EQ,03-Feb-2021,333.10,333.75,339.90,325.80,335.95,"6,64,20,168"
SBIN,EQ,04-Feb-2021,335.95,334.40,358.00,331.10,355.10,"14,52,03,439"
SBIN,EQ,05-Feb-2021,355.10,387.00,408.35,385.15,393.10,"21,49,55,688"
SBIN,EQ,08-Feb-2021,393.10,398.00,407.80,394.75,397.05,"7,93,89,205"
SBIN,EQ,09-Feb-2021,397.05,396.75,403.50,389.00,394.80,"6,38,69,990"
SBIN,EQ,10-Feb-2021,394.80,394.05,397.90,388.00,392.25,"5,41,63,507"
